Name,Elevation (m),Country,Range,Fun Fact,Image
Matterhorn,4478,Svájc,,"Jellegzetes piramis alakja miatt a világ egyik legtöbbet fotózott hegye, első megmászása 1865-ben Edward Whymper vezetésével történt, de a lemászás során négy társa életét vesztette.",images/mountains/matterhorn.jpg
Bazardüzü,4466,Azerbajdzsán,Nagy-Kaukázus,"Neve azeri nyelven ""piactér""-t jelent, mivel a középkorban a hegy alatti völgyben nagy nemzetközi vásárokat tartottak.",images/mountains/bazarduzu.jpg
Mount Whitney,4421,Amerikai Egyesült Államok,,"Az Amerikai Egyesült Államok szárazföldi részének legmagasabb csúcsa mindössze körülbelül 136 kilométerre fekszik a Halál-völgytől, Észak-Amerika legmélyebb pontjától, így itt található a kontinens egyik legnagyobb magasságkülönbsége ilyen rövid távolságon belül.",images/mountains/mount-whitney.jpg
Mount Elbert,4401,Amerikai Egyesült Államok,,"A Sziklás-hegység legmagasabb csúcsa, és a Mount Whitney után az Egyesült Államok kontinentális területének második legmagasabb pontja.",images/mountains/mount-elbert.jpg
Mount Rainier,4392,Amerikai Egyesült Államok,,"Washington állam legmagasabb hegye, egy aktív sztratovulkán, amelynek gleccserei a kontinentális Egyesült Államok legnagyobb egybefüggő jégtakaróját alkotják.",images/mountains/mount-rainier.jpg
Khüiten Peak,4356,Mongólia,,"Neve mongolul ""hideg csúcsot"" jelent, és az Altaj-hegység Tavan Bogd masszívumában, Mongólia, Oroszország és Kína hármashatárának közelében található.",images/mountains/khuiten-peak.jpg
Longs Peak,4346,Amerikai Egyesült Államok,,"A Sziklás-hegység egyik legismertebb csúcsa, keleti oldalán a híres Gyémánt-fal (The Diamond) húzódik, amelyet a hegymászók Amerika egyik legnehezebb, technikás mászóútvonalaként tartanak számon.",images/mountains/longs-peak.jpg
Grand Combin,4314,Svájc,,"A Pennini-Alpok tömbje valójában több különálló csúcsból áll, ezek közül a legmagasabb a Combin de Grafeneire, amelyet a hegy fő csúcsaként tartanak számon.",images/mountains/grand-combin.jpg
Pikes Peak,4302,Amerikai Egyesült Államok,,"Katharine Lee Bates 1893-ban a csúcsról nyíló kilátás ihlette meg az ""America the Beautiful"" című dal megírásakor, a hegyen ma is évente rendeznek híres hegyi autóversenyt.",images/mountains/pikes-peak.jpg
Mauna Kea,4207,Amerikai Egyesült Államok,,"Ha a tengerfenéktől mérjük, ez a Föld legmagasabb hegye, hiszen alapjától a csúcsáig több mint 10000 méter magas, tetején pedig a kiváló légköri viszonyok miatt a világ egyik legfontosabb csillagászati obszervatóriuma működik.",images/mountains/mauna-kea.jpg
Volcán Tajumulco,4203,Guatemala,,"Közép-Amerika legmagasabb csúcsa, kialudt vulkán Guatemalában, tetejéről tiszta időben a Csendes-óceán is kivehető.",images/mountains/volcan-tajumulco.jpg
Grand Teton,4199,Amerikai Egyesült Államok,,"A Teton-hegység legmagasabb csúcsa, amelynek első megmászását sokáig vitatták: egy 1872-es expedíció állítólagos sikerét csak az 1898-ban végrehajtott, hivatalosan is elismert megmászás után fogadta el a hegymászó közösség.",images/mountains/grand-teton.jpg
Mauna Loa,4169,Amerikai Egyesült Államok,,"A Föld térfogat szerint legnagyobb aktív vulkánja, amely legutóbb 2022-ben tört ki, s a láva ekkor veszélyesen megközelítette Hilo város peremét.",images/mountains/mauna-loa.jpg
Jbel Toubkal,4167,Marokkó,,"Az Atlasz-hegység és egyben egész Észak-Afrika legmagasabb csúcsa, amelyet évente több tízezer túrázó mászik meg, mivel Marrákestől viszonylag könnyen megközelíthető.",images/mountains/jbel-toubkal.jpg
Jungfrau,4158,Svájc,,"A csúcsot 1811-ben a Meyer fivérek mászták meg elsőként, ma pedig a lábánál húzódó Jungfraujoch, Európa legmagasabban fekvő vasútállomása, ""Top of Europe"" néven vonzza a turistákat.",images/mountains/jungfrau.jpg
Mönch,4107,Svájc,,"Neve németül 'szerzetest' jelent, és a Berni-Alpokban az Eiger ('ogre') és a Jungfrau ('szűz') közé ékelődve a helyi monda szerint azért áll ott, hogy megvédje a szüzet az ogrétól.",images/mountains/monch.jpg
Gunung Kinabalu,4095,Malajzia,,"Borneó legmagasabb csúcsa egy gránit magmatest, amely a becslések szerint még ma is emelkedik, lejtőin pedig a világ legnagyobb virágú növénye, a Rafflesia is megtalálható.",images/mountains/gunung-kinabalu.jpg
Mount Aragats,4090,Örményország,,"Örményország legmagasabb pontja, egy kihunyt pajzsvulkán, melynek egykori kráterét négy különálló csúcs, az északi, nyugati, déli és keleti veszi körül.",images/mountains/mount-aragats.jpg
Gran Paradiso,4061,Olaszország,,"Ez az egyetlen 4000 méter feletti csúcs, amely teljes egészében olasz területen fekszik, és a róla elnevezett nemzeti park Olaszország legrégebbi természetvédelmi területe.",images/mountains/gran-paradiso.jpg
Piz Bernina,4049,Svájc,,"Ez az egyetlen 4000 méter feletti csúcs az Alpok keleti felében, róla kapta nevét a Bernina-csoport, gleccserén húzódik Svájc és Olaszország határa.",images/mountains/piz-bernina.jpg
Mount Cameroon,4040,Kamerun,,"Nyugat- és Közép-Afrika legaktívabb tűzhányója, amely az elmúlt száz évben többször is kitört, legutóbb 2000-ben.",images/mountains/mount-cameroon.jpg
Eiger,3967,Svájc,,"Híres északi fala, az 'Eiger-Nordwand', a hegymászás egyik legveszélyesebb kihívásának számított, első megmászására csak 1938-ban került sor.",images/mountains/eiger.jpg
Mount Robson,3954,Kanada,,"A Kanadai-Sziklás-hegység legmagasabb csúcsa, meredek, gyakran felhőbe burkolózó fala miatt a hegymászók „a felhők királyának” nevezik.",images/mountains/mount-robson.jpg
Yu Shan,3952,Tajvan,,"Tajvan legmagasabb csúcsa, neve ""Jade-hegyet"" jelent, és 3952 méterével magasabb, mint a japán Fuji-hegy.",images/mountains/yu-shan.png
Ortler,3905,Olaszország,,"Az Ortler-Alpok legmagasabb csúcsa az első világháború idején az úgynevezett 'fehér háború' egyik hadszíntere volt, ahol a katonák alagutakat és állásokat vájtak a gleccserjégbe.",images/mountains/ortler.jpg
Cerro Chirripó,3821,Costa Rica,Talamanca-hegység,"Csúcsvidékén az utolsó jégkorszak öröksége nyomán gleccsertavak sora található, ez adta indián eredetű nevét is, amely ""az örök vizek földjét"" jelenti.",images/mountains/cerro-chirripo.jpg
Grossglockner,3798,Ausztria,,"Ausztria legmagasabb csúcsa, amelyről elnevezett Grossglockner-hegyi út Európa egyik leglátványosabb, magashegyi panorámákkal teli útja.",images/mountains/grossglockner.jpg
Mount Erebus,3794,Antarktisz,,"A Föld legdélebbi aktív tűzhányója, kráterében ritka jelenségként állandó lávató bugyog.",images/mountains/mount-erebus.jpg
Mount Fuji,3776,Japán,,"Japán legmagasabb és legszentebb hegye, tökéletes kúp alakú aktív vulkán, amelyet az UNESCO 2013-ban a világörökség részévé nyilvánított.",images/mountains/mount-fuji.jpg
Wildspitze,3768,Ausztria,,"Ausztria második legmagasabb csúcsa az Ötztali-Alpokban, tetejét egykor szinte teljesen gleccser borította, amely az éghajlatváltozás miatt az elmúlt évtizedekben jelentősen visszahúzódott.",images/mountains/wildspitze.jpg
Jabal an Nabi Shu'ayb,3666,Jemen,,"Jemen és egyben az egész Arab-félsziget legmagasabb csúcsa, amelynek neve Su'ajb prófétára utal, akit a helyi hagyomány szerint a hegy lábánál temettek el.",images/mountains/jabal-an-nabi-shu-ayb.jpg
Mount Assiniboine,3618,Kanada,,"Kiugróan meredek, piramis alakú csúcsa miatt a hegymászók gyakran csak „a Sziklás-hegység Matterhornjaként” emlegetik.",images/mountains/mount-assiniboine.jpg
Cheekha Dar,3611,Irak,Zagrosz-hegység,"Neve kurd nyelven ""fekete sátort"" jelent, csúcsa pedig az iraki-iráni határon fekszik.",images/mountains/cheekha-dar.jpg
Thabana Ntlenyana,3482,Lesotho,,"Lesotho és egyben egész Dél-Afrika legmagasabb pontja, szotó nyelven a neve ""gyönyörű kis hegyet"" jelent.",images/mountains/thabana-ntlenyana.jpg
Volcán Barú,3475,Panama,,"Panama legmagasabb pontja és egyetlen olyan helye, ahonnan tiszta időben egyszerre látható a Csendes-óceán és a Karib-tenger.",images/mountains/volcan-baru.jpg
Mafadi,3450,Dél-afrikai Köztársaság,,"A Dél-afrikai Köztársaság legmagasabb pontja, a Lesothóval közös határ mentén húzódó Drakensberg-hegység sziklás gerincén emelkedik.",images/mountains/mafadi.jpg
Emi Koussi,3447,Csád,,"Csád legmagasabb csúcsa, a Tibeszti-hegység egyik hatalmas pajzsvulkánja, kráterében Afrika egyik legnagyobb vulkáni kalderája található.",images/mountains/emi-koussi.jpg
Mount Hood,3429,Amerikai Egyesült Államok,,"Oregon állam legmagasabb hegye, egy aktív sztratovulkán, amelyet a geológusok az Egyesült Államok egyik legnagyobb kitörési kockázatú hegyének tartanak.",images/mountains/mount-hood.jpg
Fitz Roy,3405,Argentína,,"A patagóniai Andok jellegzetes tűhegyes gránitcsúcsa, nevét Robert FitzRoy kapitányról, a Beagle hajó parancsnokáról kapta, aki fedélzetén vitte körbe a világot Charles Darwinnal.",images/mountains/fitz-roy.jpg
Etna,3357,Olaszország,,"Európa legmagasabb aktív vulkánja Szicíliában, szinte folyamatos működése miatt 2013-ban az UNESCO világörökség részévé nyilvánította.",images/mountains/etna.jpg
Marmolada,3343,Olaszország,,"A Dolomitok legmagasabb csúcsa, a ""Dolomitok királynője"", melynek gleccsere alá az első világháború idején egész alagút- és barakkrendszert, az úgynevezett ""jégvárost"" vájták a katonák.",images/mountains/marmolada.jpg
Mount Kita,3193,Japán,,"Japán második legmagasabb csúcsa a Fuji után, a Japán Alpok Hida-hegységének része.",images/mountains/mount-kita.jpg
Mount Hotaka,3190,Japán,,"A Japán Alpok részét képező Hida-hegység egyik csúcsa, sziklás gerincei miatt a japán technikás alpinizmus egyik bölcsőjének számít.",images/mountains/mount-hotaka.jpg
Kinyeti,3187,Dél-Szudán,,"Dél-Szudán legmagasabb csúcsa az Imatong-hegységben található, Uganda határa közelében.",images/mountains/kinyeti.jpg
Fansipan,3143,Vietnám,,"Indokína legmagasabb csúcsa, becenevén 'Indokína teteje', 2016 óta drótkötélpálya is felviszi a turistákat a tetejére.",images/mountains/fansipan.jpg
Aýrybaba,3138,Türkmenisztán,Köýtendag-hegység (Pamír-Alaj),"Neve türkmén nyelven ""különálló szent hegyet"" jelent, és 2004 óta hivatalosan Nagy Türkmenbasi-csúcsnak is nevezik.",images/mountains/ayrybaba.jpg
Cerro Torre,3128,Argentína,Patagóniai Andok (Fitz Roy-hegycsoport),"Cesare Maestri 1959-es állítólagos elsőmászását a hegymászó szakma a sporttörténet egyik legnagyobb átverésének tartja, mivel az egyetlen bizonyító fényképeket hordozó társa a leszálláskor életét vesztette.",images/mountains/cerro-torre.jpg
Pico Duarte,3101,Dominikai Köztársaság,,"A Karib-szigetvilág legmagasabb csúcsát Juan Pablo Duarte dominikai függetlenségi hősről nevezték el, teteje télen néha még deret és fagyot is kaphat.",images/mountains/pico-duarte.jpg
Qurnat as Sawda',3088,Libanon,,"Libanon legmagasabb csúcsának neve ""fekete sarkot"" jelent, lábánál húzódik a bibliai időkre visszanyúló, védett cédruserdő, a Libanoni Cédrusok Erdeje.",images/mountains/qurnat-as-sawda.jpg
Piton des Neiges,3070,Réunion,,"Réunion és egyben az egész Indiai-óceán legmagasabb csúcsa egy kialudt vulkán, neve ""hó-csúcsot"" jelent, bár a trópusi szigeten hó valójában szinte sosem esik rajta.",images/mountains/piton-des-neiges.jpg
Jabal Marrah,3042,Szudán,,"Szudán legmagasabb pontja egy vulkanikus tömb Darfúrban, kráterében fekvő tavai a rendkívül száraz régióban ritka és létfontosságú édesvízforrást jelentenek.",images/mountains/jabal-marrah.jpg
Emba Soira,3018,Eritrea,,"Eritrea legmagasabb pontja a közép-eritreai fennsíkon, az ország fővárosától, Asmarától délre húzódik.",images/mountains/emba-soira.png
Jabal Shams,3018,Omán,,"Omán legmagasabb csúcsának neve arabul a Nap hegyét jelenti, tövében húzódik a Wadi Ghul, amelyet gyakran Arábia Grand Canyonjaként emlegetnek.",images/mountains/jabal-shams.jpg
Jabal Soudah,3015,Szaúd-Arábia,,"Szaúd-Arábia legmagasabb pontja az Aszír-régióban emelkedik, ahol a magasság miatt jóval hűvösebb, csapadékosabb éghajlat uralkodik, mint az ország nagy részén, lejtőin borókaerdőkkel.",images/mountains/jabal-soudah.jpg
Pico Basilé,3011,Egyenlítői-Guinea,,"Egy kihunyt vulkán csúcsa a Bioko-szigeten, melyet a spanyol gyarmati időkben Pico de Santa Isabelnek, a brit korszakban Clarence Peaknek hívtak.",images/mountains/pico-basile.jpg
Mount Mulanje,3002,Malawi,,"Malawi és Közép-Afrika legmagasabb hegye, a síkságból hirtelen kiemelkedő gránittömb, amelynek erdeiből származik a híres mulanje cédrusfa.",images/mountains/mount-mulanje.jpg
Pico da Neblina,2995,Brazília,,"Neve portugálul ""köd-csúcsot"" jelent, mivel szinte állandó felhőtakaró fedi, ezért csak 1965-ben sikerült pontosan megmérni és megmászni.",images/mountains/pico-da-neblina.jpg
Zugspitze,2962,Németország,,"Németország legmagasabb csúcsa az osztrák határon, tetején működik az ország legmagasabban fekvő postahivatala.",images/mountains/zugspitze.jpg
Mount Apo,2954,Fülöp-szigetek,,"A Fülöp-szigetek legmagasabb csúcsa, egy alvó vulkán Mindanao szigetén, és otthont ad a rendkívül ritka Fülöp-szigeteki sasnak is.",images/mountains/mount-apo.jpg
Coma Pedrosa,2943,Andorra,,"Andorra legmagasabb csúcsa, neve katalánul nagyjából sziklás hegyi katlant jelent, utalva a csúcs alatti gleccservájta mélyedésre.",images/mountains/coma-pedrosa.jpg
Mount Paget,2935,Déli-Georgia,,"Déli-Georgia legmagasabb csúcsa, jeges, szinte teljesen feltáratlan hegy, amelyet először csak 1964-ben másztak meg.",images/mountains/mount-paget.jpg
Musala,2925,Bulgária,,"Nemcsak Bulgária, hanem egész a Balkán-félsziget legmagasabb csúcsa is egyben, neve a török-arab eredetű 'musalla' szóból származhat, ami imádkozóhelyet jelent.",images/mountains/musala.jpg
Mount Tahat,2908,Algéria,,"Algéria legmagasabb csúcsa a Szahara szívében húzódó, vulkanikus eredetű Hoggar-hegység (Ahaggar) részeként emelkedik ki a sivatagból.",images/mountains/mount-tahat.jpg
Maromokotro,2876,Madagaszkár,,"Madagaszkár legmagasabb pontja, a sziget északi részén emelkedő Tsaratanana-hegytömb sűrű esőerdővel borított csúcsa.",images/mountains/maromokotro.jpg
Cerro Las Minas,2870,Honduras,Celaque-hegység,"A csúcsot borító felhőerdőben él az endemikus Celaque-szalamandra, amely a világon máshol nem található meg.",images/mountains/cerro-las-minas.jpg
Triglav,2864,Szlovénia,,"Szlovénia legmagasabb csúcsa és nemzeti jelképe, sziluettje szerepel az ország zászlaján és címerén is.",images/mountains/triglav.jpg
Phou Bia,2830,Laosz,,"Laosz legmagasabb hegye a Xiangkhoang-fennsík déli peremén húzódik, környéke pedig a vietnami háború öröksége miatt még ma is fel nem robbant lőszerekkel szennyezett, korlátozottan megközelíthető terület.",images/mountains/phou-bia.jpg
Pico do Fogo,2829,Zöld-foki Köztársaság,,"A Fogo-sziget névadó, aktív vulkánja legutóbb 2014-2015-ben tört ki, lávája ekkor elpusztította a kráterben fekvő Chã das Caldeiras falut.",images/mountains/pico-do-fogo.jpg
Jabal el-Sheikh,2814,Szíria,,"A nyugati világban Hermon-hegyként ismert csúcs Libanon, Szíria és Izrael határvidékén emelkedik, egész éves hótakarója miatt már az ókorban is szent hegyként tisztelték, és a Bibliában is többször szerepel.",images/mountains/jabal-el-sheikh.jpg
Mount Ruapehu,2797,Új-Zéland,,"Új-Zéland Északi-szigetének aktív vulkánja, melynek havas kúpja szolgált A Gyűrűk Ura filmtrilógiában a Végzet Hegye helyszíneként.",images/mountains/mount-ruapehu.jpg
Mount Roraima,2772,Guyana,,"Egy tepui, vagyis asztalhegy Venezuela, Brazília és Guyana hármas határán, amely Arthur Conan Doyle „Az elveszett világ” című regényét ihlette.",images/mountains/mount-roraima.jpg
Golem Korab,2764,Észak-Macedónia,,"Ez a csúcs egyszerre Észak-Macedónia és Albánia legmagasabb pontja is, mivel a két ország közötti határvonalon húzódik.",images/mountains/golem-korab.jpg
Big Ben,2745,Heard-sziget,Heard-sziget vulkáni tömbje,"Csúcsa, a Mawson Peak, Ausztrália egyetlen aktív vulkánja, amely 2008 óta gyakorlatilag minden évben lávát bocsát ki.",images/mountains/big-ben.jpg
Paektu-san,2744,Észak-Korea,,"A Koreai-félsziget legmagasabb, ma is aktívnak számító vulkánja csúcskráterében a Mennyei-tó fekszik, és a koreai mitológia szerint itt született a koreai nemzet legendás megalapítója.",images/mountains/paektu-san.jpg
Cerro El Pital,2730,Salvador,Trifinio-hegyvidék (Montecristo),"Csúcsát egy fehér kőoszlop jelöli, amely magát a Salvador és Honduras közötti határvonalat is kijelöli.",images/mountains/cerro-el-pital.jpg
Watzmann,2713,Németország,,"A Berchtesgadeni-Alpok jellegzetes csúcsa, helyi legenda szerint egy kegyetlen király és családja kővé dermedt alakja, aki bűnei miatt bűnhődik a hegyben.",images/mountains/watzmann.jpg
Maja Jezercë,2694,Albánia,,"Albánia legmagasabb pontja, amely a vad, sziklás Átkozott-hegységben (Prokletije) emelkedik, ahol a hegy neve a helyi albán nyelvjárásban egyszerűen a csúcsot jelenti.",images/mountains/maja-jezerce.jpg
Mount Heha,2684,Burundi,,"Burundi legmagasabb pontja, a Nílus és a Kongó folyó vízválasztóján, a Kongó-Nílus-hátságon emelkedik.",images/mountains/mount-heha.jpg
Pic la Selle,2680,Haiti,,"Haiti legmagasabb pontja, a Selle-hegység gerincén emelkedik, és a Karib-térség egyik legkevésbé kutatott, sűrű erdővel borított csúcsa.",images/mountains/pic-la-selle.jpg
Velika Rudoka,2660,Koszovó,,"A Šar-hegység (Sár-hegység) egyik csúcsa Koszovó és Észak-Macedónia határvidékén, a térség egyik legfontosabb vízválasztója.",images/mountains/velika-rudoka.jpg
Mount Catherine,2629,Egyiptom,,"Egyiptom legmagasabb csúcsa a Sínai-félszigeten, nevét Alexandriai Szent Katalinról kapta, lábánál áll az ő nevét viselő ősi kolostor.",images/mountains/mount-catherine.jpg
Mount Moco,2620,Angola,,"Angola legmagasabb csúcsa, gránitos lejtőin ritka, sehol máshol elő nem forduló endemikus madár- és növényfajok élnek.",images/mountains/mount-moco.jpg
Grauspitz,2599,Liechtenstein,,"Liechtenstein legmagasabb pontja, amely a Rätikon-hegységhez tartozik, és csúcsa gyakorlatilag a svájci határvonalon húzódik.",images/mountains/grauspitz.jpg
Inyangani,2592,Zimbabwe,,"Zimbabwe legmagasabb csúcsa a Nyanga-hegységben található, és a helyi legendák szerint eltűnt vándorok szellemei kísértik lejtőit.",images/mountains/inyangani.jpg
Königstein,2573,Namíbia,,"Namíbia legmagasabb csúcsa a Brandberg-masszívum része, amelynek sziklái között őrzik a híres ""Fehér hölgy"" néven ismert őskori sziklarajzot.",images/mountains/konigstein.jpg
Doi Inthanon,2565,Thaiföld,,"Thaiföld legmagasabb pontja, beceneve 'Thaiföld teteje', tetején két pagoda áll a thai királyi pár tiszteletére.",images/mountains/doi-inthanon.jpg
Mount St. Helens,2549,Amerikai Egyesült Államok,,"Az 1980-as híres kitörése során csaknem 400 méterrel csökkent a magassága, miután a hegy oldala hatalmas földcsuszamlásban omlott le.",images/mountains/mount-st-helens.jpg
Moldoveanu,2544,Románia,,"Románia legmagasabb csúcsa, a Déli-Kárpátok részét képező Fogarasi-havasok gerincén emelkedik.",images/mountains/moldoveanu.jpg
Zla Kolata,2534,Montenegró,,"A Prokletije, azaz az ""Átkozott-hegység"" egyik csúcsa Montenegróban, a hegység zord, nehezen járható terepéről kapta félelmetes nevét.",images/mountains/zla-kolata.jpg
Pidurutalagala,2524,Srí Lanka,,"Srí Lanka legmagasabb hegyét katonai és távközlési létesítmények miatt évtizedekig zárt terület övezte, a helyiek régen Mahá Eliyaként, azaz ""nagy fényességként"" emlegették.",images/mountains/pidurutalagala.jpg
Mount Taranaki,2518,Új-Zéland,,"Új-Zéland tökéletesen szimmetrikus alvó vulkánja annyira hasonlít a Fuji-hegyre, hogy több filmben - köztük Az utolsó szamurájban - is annak helyszíneként szerepelt; a maori legenda szerint azért áll magányosan, mert vesztes szerelmi csatája után elmenekült a Tongariro vulkántól.",images/mountains/mount-taranaki.jpg
Rysy,2499,Lengyelország,,"Lengyelország legmagasabb csúcsára 1913-ban a fiatal Lenin is felmászott emigrációja idején, teteje egyben a szlovák-lengyel határvonalat is jelöli.",images/mountains/rysy.jpg
Galdhøpiggen,2469,Norvégia,,"Norvégia és egyben egész Skandinávia legmagasabb csúcsa a Jotunheimen Nemzeti Parkban, nyáron gleccserén sítábort is tartanak.",images/mountains/galdhpiggen.jpg
Shimbiris,2460,Szomália,,"Szomália legmagasabb pontja a Cal Madow-hegyláncban emelkedik, ahol a sivatagos ország szárazságával ellentétben helyenként még ködhatású ökoszisztéma is kialakul.",images/mountains/shimbiris.jpg
Monte Binga,2440,Mozambik,,"Mozambik legmagasabb pontja, a Zimbabwével közös határon húzódó Chimanimani-hegységben, amelynek zimbabwei oldalán szinte azonos magasságú testvércsúcsa emelkedik.",images/mountains/monte-binga.jpg
Chappal Waddi,2419,Nigéria,Adamawa-hegyvidék (Mambilla-fennsík),"Eredeti, helyi mambilla neve Gang-csúcs, és a helyi hagyomány szerint a hegy határozta meg a fennsík termésének sikerét vagy kudarcát.",images/mountains/chappal-waddi.jpg
Maglić,2386,Bosznia-Hercegovina,,"Bosznia-Hercegovina legmagasabb csúcsa, nevét a lábánál fekvő gleccsertóról, a Trnovačko-tóról kapta, és a montenegrói határ közelében, a Sutjeska Nemzeti Park területén emelkedik.",images/mountains/maglic.jpg
Mount Karthala,2361,Comore-szigetek,,"A Comore-szigetek egyik legnagyobb aktív pajzsvulkánja, kalderája a Föld egyik legnagyobb működő vulkáni kráterei közé tartozik.",images/mountains/mount-karthala.jpg
Montanha do Pico,2351,Portugália,,"Portugália legmagasabb csúcsa, egy még ma is aktívnak számító vulkáni kúp az Azori-szigetekhez tartozó Pico szigetén.",images/mountains/montanha-do-pico.jpg
Mount Popomanaseu,2335,Salamon-szigetek,,"A Salamon-szigetek legmagasabb csúcsa Guadalcanal szigetén, sűrű esőerdő és nehezen járható terep veszi körül.",images/mountains/mount-popomanaseu.jpg
Beerenberg,2277,Svalbard és Jan Mayen,Jan Mayen vulkáni szigete,"A Föld legészakabbra fekvő aktív vulkánja, jégsapkával fedett kráteréből legutóbb 1985-ben tört elő láva.",images/mountains/beerenberg.jpg
Bikku Bitti,2267,Líbia,Tibeszti-hegység,"A csádi határhoz közeli, elszigetelt csúcsot két sikertelen kísérlet után elsőként csak 2005-ben mászta meg egy brit hegymászó, Ginge Fullen.",images/mountains/bikku-bitti.jpg
Blue Mountain Peak,2256,Jamaica,Kék-hegyek (Blue Mountains),"Lejtőin terem a világ egyik legdrágább kávéja, a híres Blue Mountain kávé, amelyet elsősorban Japánba exportálnak.",images/mountains/blue-mountain-peak.jpg
Mont Orohena,2241,Francia Polinézia,,"Tahiti szigetének legmagasabb pontja, egy ősi, mélyen erodálódott pajzsvulkán megmaradt csúcsa.",images/mountains/mont-orohena.jpg
Mount Kosciuszko,2228,Ausztrália,,"Ausztrália szárazföldi részének legmagasabb csúcsa, nevét felfedezője a lengyel szabadsághős, Tadeusz Kościuszko tábornok tiszteletére adta neki.",images/mountains/mount-kosciuszko.jpg
Midžor,2169,Szerbia,,"Szerbia legmagasabb pontja, a bolgár határ mentén húzódó Balkán-hegységben (Stara Planina) emelkedik.",images/mountains/midzor.jpg
Hvannadalshnúkur,2110,Izland,,"Izland legmagasabb pontja az Öræfajökull nevű aktív vulkán jéggel borított pereme, amely 1362-ben olyan heves kitörést produkált, hogy elpusztította a környező településeket.",images/mountains/hvannadalshnukur.jpg
Kebnekaise,2097,Svédország,,"Svédország legmagasabb csúcsa, amelynek déli, jégsapkás csúcsa a felmelegedés miatt folyamatosan zsugorodik, így néhány éve már alacsonyabb lett az északi, sziklás csúcsnál.",images/mountains/kebnekaise.jpg
Mogotón,2085,Nicaragua,,"Nicaragua legmagasabb pontja, a Hondurasszal közös határ mentén, felhőerdőkkel borított hegyvidéken található, amely a régió egyik legfontosabb biológiai rezervátuma.",images/mountains/mogoton.jpg
Queen Mary's Peak,2062,Szent Ilona,,"Ez a Tristan da Cunha-szigetet uraló aktív vulkán a világ legelszigeteltebb lakott szigetének legmagasabb pontja, utoljára 1961-ben tört ki, amikor a teljes lakosságot evakuálni kellett.",images/mountains/queen-mary-s-peak.jpg
Hoverla,2061,Ukrajna,,"Ukrajna legmagasabb csúcsa a Kárpátokban, amely a mai napig kedvelt zarándok- és turistacél, tetején gyakran emléktáblákat és kereszteket helyeznek el a látogatók.",images/mountains/hoverla.jpg
Pico de São Tomé,2024,São Tomé és Príncipe,,"A São Tomé-sziget esőerdővel borított, vulkanikus eredetű legmagasabb csúcsa, melynek környékén számos, csak itt élő endemikus madárfaj található.",images/mountains/pico-de-sao-tome.jpg
Mont Idoukal-n-Taghès,2022,Niger,,"Niger legmagasabb pontja, a Szahara szívében emelkedő, vulkanikus eredetű Aïr-hegységben található.",images/mountains/mont-idoukal-n-taghes.png
Mousa Ali,2021,Dzsibuti,,"Dzsibuti legmagasabb pontja egy alvó rétegvulkán, amelynek csúcsa pontosan Dzsibuti, Eritrea és Etiópia hármashatárán fekszik.",images/mountains/mousa-ali.png
Halla-san,1947,Dél-Korea,,"Dél-Korea legmagasabb pontja egy pajzsvulkán, amelynek kráterében a Baengnokdam nevű krátertó található, és amely gyakorlatilag a teljes Jeju-szigetet felépíti.",images/mountains/halla-san.jpg
Mount Bintumani,1945,Sierra Leone,,"Sierra Leone legmagasabb csúcsa a Loma-hegységben emelkedik, sűrű esőerdő borítja, amely számos, sehol máshol elő nem forduló faj otthona.",images/mountains/mount-bintumani.jpg
Jebel Jais,1934,Egyesült Arab Emírségek,,"Az Egyesült Arab Emírségek legmagasabb csúcsán található a világ leghosszabb zipline-pályája, amely több mint 2,8 kilométer hosszan repíti le a résztvevőket a hegyoldalon.",images/mountains/jebel-jais.jpg
Mount Tabwemasana,1879,Vanuatu,,"Vanuatu legmagasabb pontja valójában két csúcsból áll, és a helyi legenda szerint ez a két csúcs - egy férfi és egy nő - éjszakánként egymás ölelésébe simul.",images/mountains/mount-tabwemasana.jpg
Bukit Pagon,1875,Brunei,Bruneit és Malajziát elválasztó hegyvidék,"A hegynek két, egymástól alig 500 méterre lévő csúcsa van: a határon álló csúcs számít Brunei legmagasabb pontjának, míg a valamivel magasabb másik csúcs már teljesen Malajzia területén fekszik.",images/mountains/bukit-pagon.jpg
Emlembe,1862,Eswatini,,"Eswatini legmagasabb pontja, a Lubombo-hegység szélén, a dél-afrikai Mpumalanga tartomány határa mentén emelkedik.",images/mountains/emlembe.jpg
Mauga Silisili,1858,Szamoa,,"Szamoa legmagasabb pontja, a Savai'i sziget belsejében emelkedő, sűrű esőerdővel borított vulkanikus csúcs.",images/mountains/mauga-silisili.jpg
Jabal Umm ad Dami,1854,Jordánia,,"Jordánia legmagasabb csúcsa az ország déli részén, a szaúdi határ közelében emelkedik, és a híres sivatagi tájáról ismert Wadi Rum térségéből is látható.",images/mountains/jabal-umm-ad-dami.jpg
Mont Ross,1850,Antarktisz,,"A Kerguelen-szigetek legmagasabb csúcsa a déli sarkvidéki francia területeken, amelyet a híres brit sarkkutatóról, Sir James Clark Rossról neveztek el.",images/mountains/mont-ross.jpg
Dinara,1831,Horvátország,,"Erről a csúcsról kapta nevét az egész Dinári-hegység, amely a Balkán-félsziget Adriai-tenger felőli partvidékét kíséri végig.",images/mountains/dinara.jpg
